episode 100, agent_0: -74.811528; sum reward: -74.8115280240377
episode 200, agent_0: -3.845036; sum reward: -3.845035796823339
episode 300, agent_0: -12.890459; sum reward: -12.89045857965463
episode 400, agent_0: -62.788211; sum reward: -62.7882105005756
episode 500, agent_0: -91.623851; sum reward: -91.62385073710038
episode 600, agent_0: -4.697289; sum reward: -4.697289315470779
episode 700, agent_0: -66.641171; sum reward: -66.6411707270811
episode 800, agent_0: -48.268872; sum reward: -48.268872257346885
episode 900, agent_0: -6.498539; sum reward: -6.498538935828031
episode 1000, agent_0: -4.034264; sum reward: -4.034264239295231
episode 1100, agent_0: -25.696335; sum reward: -25.696334509834855
episode 1200, agent_0: -4.946562; sum reward: -4.946561604626811
episode 1300, agent_0: -5.384353; sum reward: -5.38435303269493
episode 1400, agent_0: -39.645743; sum reward: -39.64574303803216
episode 1500, agent_0: -26.331298; sum reward: -26.331297688226012
episode 1600, agent_0: -31.975243; sum reward: -31.97524324362783
episode 1700, agent_0: -73.489349; sum reward: -73.48934923588146
episode 1800, agent_0: -28.327959; sum reward: -28.327959459369268
episode 1900, agent_0: -69.323616; sum reward: -69.32361615170234
episode 2000, agent_0: -3.529181; sum reward: -3.529181375710805
episode 2100, agent_0: -3.767226; sum reward: -3.7672264107920324
episode 2200, agent_0: -63.982306; sum reward: -63.98230606209805
episode 2300, agent_0: -8.451183; sum reward: -8.451183146050232
episode 2400, agent_0: -28.140736; sum reward: -28.14073580396736
episode 2500, agent_0: -27.674187; sum reward: -27.674186651905906
episode 2600, agent_0: -16.678843; sum reward: -16.678843249917986
episode 2700, agent_0: -16.487372; sum reward: -16.487372157074287
episode 2800, agent_0: -3.931112; sum reward: -3.931111696652022
episode 2900, agent_0: -68.509664; sum reward: -68.50966360381693
episode 3000, agent_0: -54.707420; sum reward: -54.70741959970386
episode 3100, agent_0: -7.727344; sum reward: -7.727344041972488
episode 3200, agent_0: -13.812261; sum reward: -13.812260557850376
episode 3300, agent_0: -74.249775; sum reward: -74.24977462473828
episode 3400, agent_0: -50.425168; sum reward: -50.425167535961386
episode 3500, agent_0: -46.579799; sum reward: -46.57979904987554
episode 3600, agent_0: -12.535918; sum reward: -12.535917508033524
episode 3700, agent_0: -2.760600; sum reward: -2.7605998246676364
episode 3800, agent_0: -68.058313; sum reward: -68.05831256879591
episode 3900, agent_0: -12.776300; sum reward: -12.776300064338333
episode 4000, agent_0: -2.506883; sum reward: -2.506883495872516
episode 4100, agent_0: -30.702591; sum reward: -30.702591283224987
episode 4200, agent_0: -13.303920; sum reward: -13.303920097311353
episode 4300, agent_0: -16.566553; sum reward: -16.566553305030567
episode 4400, agent_0: -3.182943; sum reward: -3.182942883557537
episode 4500, agent_0: -80.861200; sum reward: -80.86120009691052
episode 4600, agent_0: -3.775956; sum reward: -3.7759561174122767
episode 4700, agent_0: -59.385791; sum reward: -59.38579059366078
episode 4800, agent_0: -68.611601; sum reward: -68.61160119427957
episode 4900, agent_0: -59.529314; sum reward: -59.52931420223282
episode 5000, agent_0: -20.928133; sum reward: -20.928132568487527
episode 5100, agent_0: -6.238855; sum reward: -6.2388550088111545
episode 5200, agent_0: -47.831499; sum reward: -47.83149889162983
episode 5300, agent_0: -12.239023; sum reward: -12.239023346635564
episode 5400, agent_0: -5.574155; sum reward: -5.574155476189246
episode 5500, agent_0: -100.561606; sum reward: -100.56160607686037
episode 5600, agent_0: -36.925763; sum reward: -36.92576292248893
episode 5700, agent_0: -71.108454; sum reward: -71.10845417348355
episode 5800, agent_0: -22.650806; sum reward: -22.650806366985552
episode 5900, agent_0: -9.479624; sum reward: -9.47962422546254
episode 6000, agent_0: -35.473910; sum reward: -35.47391031812761
episode 6100, agent_0: -15.101260; sum reward: -15.101259569676506
episode 6200, agent_0: -7.533710; sum reward: -7.533709723668827
episode 6300, agent_0: -38.179349; sum reward: -38.17934863374531
episode 6400, agent_0: -41.104539; sum reward: -41.10453949081165
episode 6500, agent_0: -4.669455; sum reward: -4.669454860065705
episode 6600, agent_0: -36.101810; sum reward: -36.101810134716075
episode 6700, agent_0: -24.714376; sum reward: -24.714375566030164
episode 6800, agent_0: -11.276206; sum reward: -11.276205780114358
episode 6900, agent_0: -49.575185; sum reward: -49.57518458965773
episode 7000, agent_0: -4.318556; sum reward: -4.318555550871765
episode 7100, agent_0: -32.176048; sum reward: -32.17604816091974
episode 7200, agent_0: -14.355609; sum reward: -14.355609395483075
episode 7300, agent_0: -28.420038; sum reward: -28.42003763275184
episode 7400, agent_0: -30.152045; sum reward: -30.15204468639036
episode 7500, agent_0: -12.511920; sum reward: -12.511919729815583
episode 7600, agent_0: -23.535614; sum reward: -23.535614244411835
episode 7700, agent_0: -18.224714; sum reward: -18.224713631276312
episode 7800, agent_0: -80.441771; sum reward: -80.44177079294334
