episode 100, agent_0: -22.891121; sum reward: -22.89112104779918
episode 200, agent_0: -20.175741; sum reward: -20.175741039614806
episode 300, agent_0: -41.016924; sum reward: -41.01692383925658
episode 400, agent_0: -29.595352; sum reward: -29.59535156045624
episode 500, agent_0: -10.600526; sum reward: -10.600525598270558
episode 600, agent_0: -24.713762; sum reward: -24.713761704037992
episode 700, agent_0: -7.945982; sum reward: -7.945982030912367
episode 800, agent_0: -81.626037; sum reward: -81.62603677253446
episode 900, agent_0: -38.449643; sum reward: -38.4496430447829
episode 1000, agent_0: -16.620503; sum reward: -16.620503208334917
episode 1100, agent_0: -28.286630; sum reward: -28.286629615077175
episode 1200, agent_0: -82.830301; sum reward: -82.83030135834227
episode 1300, agent_0: -41.566981; sum reward: -41.566981465435006
episode 1400, agent_0: -22.503097; sum reward: -22.503097111157643
episode 1500, agent_0: -52.089588; sum reward: -52.08958789738955
episode 1600, agent_0: -9.303043; sum reward: -9.30304319464522
episode 1700, agent_0: -82.752471; sum reward: -82.75247110062998
episode 1800, agent_0: -21.112175; sum reward: -21.112175403480226
episode 1900, agent_0: -51.441444; sum reward: -51.44144379026393
episode 2000, agent_0: -4.121901; sum reward: -4.1219005499379415
episode 2100, agent_0: -92.595319; sum reward: -92.59531873296652
episode 2200, agent_0: -62.187526; sum reward: -62.187525724340645
episode 2300, agent_0: -83.485453; sum reward: -83.48545261106634
episode 2400, agent_0: -50.418509; sum reward: -50.41850927791543
episode 2500, agent_0: -8.776915; sum reward: -8.776915039598451
episode 2600, agent_0: -8.330736; sum reward: -8.330735674671068
episode 2700, agent_0: -57.863095; sum reward: -57.86309487568149
episode 2800, agent_0: -34.757216; sum reward: -34.75721607015903
episode 2900, agent_0: -42.543025; sum reward: -42.54302493761257
episode 3000, agent_0: -24.699140; sum reward: -24.69913968471195
episode 3100, agent_0: -13.200077; sum reward: -13.20007749716452
episode 3200, agent_0: -85.532247; sum reward: -85.53224733614746
episode 3300, agent_0: -54.186613; sum reward: -54.186612722602504
episode 3400, agent_0: -29.169612; sum reward: -29.16961232184664
episode 3500, agent_0: -31.017432; sum reward: -31.017431832861313
episode 3600, agent_0: -23.466578; sum reward: -23.46657810836366
episode 3700, agent_0: -20.925653; sum reward: -20.925652824763837
episode 3800, agent_0: -19.293101; sum reward: -19.29310136330333
episode 3900, agent_0: -58.889119; sum reward: -58.88911908462329
episode 4000, agent_0: -42.909717; sum reward: -42.90971671348356
episode 4100, agent_0: -27.951800; sum reward: -27.95179973682534
episode 4200, agent_0: -5.642238; sum reward: -5.642238472470173
episode 4300, agent_0: -9.114307; sum reward: -9.114306921927785
episode 4400, agent_0: -13.173200; sum reward: -13.173199511663837
episode 4500, agent_0: -27.647384; sum reward: -27.647384166518748
episode 4600, agent_0: -12.411393; sum reward: -12.411393484662886
episode 4700, agent_0: -71.256643; sum reward: -71.25664308041495
episode 4800, agent_0: -29.934159; sum reward: -29.934158687982308
episode 4900, agent_0: -98.626046; sum reward: -98.6260458623225
episode 5000, agent_0: -13.646413; sum reward: -13.646412725661472
episode 5100, agent_0: -44.779664; sum reward: -44.779663609447006
episode 5200, agent_0: -5.321531; sum reward: -5.321530948049953
episode 5300, agent_0: -15.658846; sum reward: -15.658846460688164
episode 5400, agent_0: -72.043328; sum reward: -72.0433281545685
episode 5500, agent_0: -7.601796; sum reward: -7.601796278380344
episode 5600, agent_0: -8.306323; sum reward: -8.306323024826586
episode 5700, agent_0: -10.898806; sum reward: -10.898806428547868
episode 5800, agent_0: -63.738430; sum reward: -63.73843037229997
episode 5900, agent_0: -41.033887; sum reward: -41.0338866747223
episode 6000, agent_0: -46.634029; sum reward: -46.634028694727256
episode 6100, agent_0: -21.330588; sum reward: -21.330587706778562
episode 6200, agent_0: -81.829440; sum reward: -81.82943986826092
episode 6300, agent_0: -50.109091; sum reward: -50.10909114163295
episode 6400, agent_0: -31.755675; sum reward: -31.755674559051393
episode 6500, agent_0: -4.657621; sum reward: -4.657620664764675
episode 6600, agent_0: -40.315207; sum reward: -40.31520708457751
episode 6700, agent_0: -70.698291; sum reward: -70.69829068277133
episode 6800, agent_0: -73.684618; sum reward: -73.6846176859353
episode 6900, agent_0: -47.613846; sum reward: -47.61384640056836
episode 7000, agent_0: -5.001906; sum reward: -5.001906228567949
episode 7100, agent_0: -10.355596; sum reward: -10.355596340143798
episode 7200, agent_0: -31.407829; sum reward: -31.407828619044192
episode 7300, agent_0: -59.998276; sum reward: -59.998275705062625
episode 7400, agent_0: -59.427614; sum reward: -59.42761385667504
episode 7500, agent_0: -68.654377; sum reward: -68.65437749287184
episode 7600, agent_0: -7.498810; sum reward: -7.498809765955747
episode 7700, agent_0: -11.617466; sum reward: -11.617465732760543
episode 7800, agent_0: -13.736286; sum reward: -13.736286017721755
episode 7900, agent_0: -70.542376; sum reward: -70.54237604222905
episode 8000, agent_0: -20.425209; sum reward: -20.425209375296244
episode 8100, agent_0: -21.900570; sum reward: -21.90056950596194
episode 8200, agent_0: -7.850007; sum reward: -7.850006598220928
episode 8300, agent_0: -13.518426; sum reward: -13.518426174195186
episode 8400, agent_0: -64.643320; sum reward: -64.64332029176398
episode 8500, agent_0: -13.382371; sum reward: -13.382371327059689
episode 8600, agent_0: -43.920513; sum reward: -43.92051252639069
episode 8700, agent_0: -36.018868; sum reward: -36.01886836324794
episode 8800, agent_0: -5.776721; sum reward: -5.776721153601217
episode 8900, agent_0: -48.085337; sum reward: -48.08533718004825
episode 9000, agent_0: -86.317587; sum reward: -86.31758681259498
episode 9100, agent_0: -12.346815; sum reward: -12.346815123120857
episode 9200, agent_0: -75.434326; sum reward: -75.43432647979625
episode 9300, agent_0: -12.815557; sum reward: -12.815556666231863
