episode 100, agent_0: -22.954423; sum reward: -22.954423494845635
episode 200, agent_0: -39.057220; sum reward: -39.0572198180566
episode 300, agent_0: -35.512321; sum reward: -35.51232136729166
episode 400, agent_0: -47.177481; sum reward: -47.17748111848756
episode 500, agent_0: -7.957209; sum reward: -7.957209268474771
episode 600, agent_0: -9.357796; sum reward: -9.357795699464987
episode 700, agent_0: -24.200634; sum reward: -24.200634234637505
episode 800, agent_0: -13.121722; sum reward: -13.12172150695429
episode 900, agent_0: -27.815176; sum reward: -27.815175604865214
episode 1000, agent_0: -11.046152; sum reward: -11.04615194048846
episode 1100, agent_0: -39.718476; sum reward: -39.71847559769151
episode 1200, agent_0: -54.224227; sum reward: -54.22422654825647
episode 1300, agent_0: -78.365228; sum reward: -78.365228117629
episode 1400, agent_0: -50.807157; sum reward: -50.80715732696358
episode 1500, agent_0: -55.592858; sum reward: -55.592857895689406
episode 1600, agent_0: -27.940929; sum reward: -27.940929011932596
episode 1700, agent_0: -48.149636; sum reward: -48.1496360383173
episode 1800, agent_0: -32.692268; sum reward: -32.69226779096477
episode 1900, agent_0: -24.927188; sum reward: -24.927188236775166
episode 2000, agent_0: -35.619506; sum reward: -35.619506166037006
episode 2100, agent_0: -97.085514; sum reward: -97.08551381966183
episode 2200, agent_0: -18.244794; sum reward: -18.244793898572603
episode 2300, agent_0: -7.176662; sum reward: -7.17666245990731
episode 2400, agent_0: -16.582823; sum reward: -16.582823046972322
episode 2500, agent_0: -12.723903; sum reward: -12.723903211734624
episode 2600, agent_0: -15.497739; sum reward: -15.497739097451511
episode 2700, agent_0: -35.202646; sum reward: -35.202645687125816
episode 2800, agent_0: -8.330603; sum reward: -8.330602901358866
episode 2900, agent_0: -15.289353; sum reward: -15.28935291950202
episode 3000, agent_0: -34.306672; sum reward: -34.30667192402972
episode 3100, agent_0: -15.330281; sum reward: -15.330280778522878
episode 3200, agent_0: -3.788808; sum reward: -3.7888076701476283
episode 3300, agent_0: -35.127464; sum reward: -35.127463999947594
episode 3400, agent_0: -26.756059; sum reward: -26.756059452927975
episode 3500, agent_0: -27.287155; sum reward: -27.287155015377465
episode 3600, agent_0: -14.721344; sum reward: -14.721344057910708
episode 3700, agent_0: -43.292552; sum reward: -43.29255190267619
episode 3800, agent_0: -35.618703; sum reward: -35.6187028688183
episode 3900, agent_0: -4.548155; sum reward: -4.548155230040792
episode 4000, agent_0: -6.311108; sum reward: -6.311107980769445
episode 4100, agent_0: -10.357566; sum reward: -10.357565656357538
episode 4200, agent_0: -74.635043; sum reward: -74.63504346173572
episode 4300, agent_0: -66.924472; sum reward: -66.92447151728585
episode 4400, agent_0: -47.362860; sum reward: -47.36286042023539
episode 4500, agent_0: -36.223150; sum reward: -36.22314977472366
episode 4600, agent_0: -16.716846; sum reward: -16.716846189815147
episode 4700, agent_0: -25.546458; sum reward: -25.546458475526144
episode 4800, agent_0: -7.388351; sum reward: -7.388350799427653
episode 4900, agent_0: -3.348186; sum reward: -3.348185936890012
episode 5000, agent_0: -64.701906; sum reward: -64.70190625249862
episode 5100, agent_0: -43.598339; sum reward: -43.598339252272986
episode 5200, agent_0: -26.457802; sum reward: -26.45780175011772
episode 5300, agent_0: -11.603922; sum reward: -11.60392190086277
episode 5400, agent_0: -40.992799; sum reward: -40.99279934956901
episode 5500, agent_0: -48.363989; sum reward: -48.36398859471737
episode 5600, agent_0: -20.809443; sum reward: -20.809442502545807
episode 5700, agent_0: -27.131511; sum reward: -27.131510728720997
episode 5800, agent_0: -60.230081; sum reward: -60.23008092482045
episode 5900, agent_0: -26.809582; sum reward: -26.80958204308178
episode 6000, agent_0: -15.312973; sum reward: -15.312972720263316
episode 6100, agent_0: -20.636261; sum reward: -20.6362608990333
