episode 100, agent_0: -53.060300; sum reward: -53.06030042460462
episode 200, agent_0: -20.542644; sum reward: -20.542644151206627
episode 300, agent_0: -81.691173; sum reward: -81.69117349617937
episode 400, agent_0: -28.203017; sum reward: -28.203016770769366
episode 500, agent_0: -54.521873; sum reward: -54.521873438008775
episode 600, agent_0: -37.061267; sum reward: -37.061266992049035
episode 700, agent_0: -3.417388; sum reward: -3.417388170946894
episode 800, agent_0: -13.671481; sum reward: -13.671481171324492
episode 900, agent_0: -33.836240; sum reward: -33.836240349868426
episode 1000, agent_0: -3.231047; sum reward: -3.2310470826954316
episode 1100, agent_0: -14.886653; sum reward: -14.886652844453353
episode 1200, agent_0: -10.167373; sum reward: -10.16737305037781
episode 1300, agent_0: -87.597957; sum reward: -87.59795681144489
episode 1400, agent_0: -51.316018; sum reward: -51.31601768907577
episode 1500, agent_0: -7.190358; sum reward: -7.1903582488222195
episode 1600, agent_0: -21.698039; sum reward: -21.698038812330903
episode 1700, agent_0: -36.425036; sum reward: -36.425036366969955
episode 1800, agent_0: -10.014578; sum reward: -10.014577813093915
episode 1900, agent_0: -9.583595; sum reward: -9.583595420221057
episode 2000, agent_0: -55.649892; sum reward: -55.649891818824216
episode 2100, agent_0: -33.595980; sum reward: -33.59597997469962
episode 2200, agent_0: -3.707915; sum reward: -3.7079154762290782
episode 2300, agent_0: -1.211446; sum reward: -1.2114461173579067
episode 2400, agent_0: -49.211720; sum reward: -49.21171958608326
episode 2500, agent_0: -10.598978; sum reward: -10.598978304649384
episode 2600, agent_0: -1.157426; sum reward: -1.1574261940841264
episode 2700, agent_0: -67.234373; sum reward: -67.23437290691493
episode 2800, agent_0: -6.285154; sum reward: -6.285154400666546
episode 2900, agent_0: -11.035868; sum reward: -11.035867819582542
episode 3000, agent_0: -3.893318; sum reward: -3.8933184193981525
episode 3100, agent_0: -26.883300; sum reward: -26.883299602368435
episode 3200, agent_0: -14.161941; sum reward: -14.161941370455347
episode 3300, agent_0: -19.191497; sum reward: -19.191497154117545
episode 3400, agent_0: -4.334442; sum reward: -4.334442336723569
episode 3500, agent_0: -27.090316; sum reward: -27.09031613355753
episode 3600, agent_0: -66.095074; sum reward: -66.09507429477148
episode 3700, agent_0: -36.427067; sum reward: -36.427066583267504
episode 3800, agent_0: -11.725951; sum reward: -11.725951045900082
episode 3900, agent_0: -7.362571; sum reward: -7.362571106526072
episode 4000, agent_0: -6.094144; sum reward: -6.094144306189066
episode 4100, agent_0: -15.242351; sum reward: -15.242350843230312
episode 4200, agent_0: -25.448074; sum reward: -25.44807433363388
episode 4300, agent_0: -1.192529; sum reward: -1.192528711074456
episode 4400, agent_0: -32.900171; sum reward: -32.9001710713386
episode 4500, agent_0: -25.136709; sum reward: -25.136709424097436
episode 4600, agent_0: -17.425480; sum reward: -17.42548011050565
episode 4700, agent_0: -29.069264; sum reward: -29.069264080353868
episode 4800, agent_0: -22.634002; sum reward: -22.634002372635972
episode 4900, agent_0: -7.913129; sum reward: -7.9131289744952555
episode 5000, agent_0: -24.348318; sum reward: -24.34831842659088
episode 5100, agent_0: -91.682634; sum reward: -91.68263406906154
episode 5200, agent_0: -4.437652; sum reward: -4.437651534562796
episode 5300, agent_0: -5.161486; sum reward: -5.161485661796348
episode 5400, agent_0: -18.692978; sum reward: -18.69297842782046
episode 5500, agent_0: -26.375116; sum reward: -26.375116265163275
episode 5600, agent_0: -38.477002; sum reward: -38.477001714439965
episode 5700, agent_0: -31.502576; sum reward: -31.50257637057545
episode 5800, agent_0: -55.677070; sum reward: -55.67707013507755
episode 5900, agent_0: -3.626855; sum reward: -3.626854872290629
episode 6000, agent_0: -46.406152; sum reward: -46.40615161151552
episode 6100, agent_0: -3.799600; sum reward: -3.799600485824198
episode 6200, agent_0: -25.272388; sum reward: -25.272387897325924
episode 6300, agent_0: -12.724534; sum reward: -12.724533575413885
episode 6400, agent_0: -28.774300; sum reward: -28.774300293752056
episode 6500, agent_0: -22.857801; sum reward: -22.857800557488645
episode 6600, agent_0: -33.571271; sum reward: -33.57127093317852
episode 6700, agent_0: -7.542721; sum reward: -7.542721220442113
episode 6800, agent_0: -26.395175; sum reward: -26.39517472355744
episode 6900, agent_0: -4.164340; sum reward: -4.164340004578963
episode 7000, agent_0: -24.036793; sum reward: -24.036793219571216
episode 7100, agent_0: -72.440819; sum reward: -72.44081898015465
episode 7200, agent_0: -9.910290; sum reward: -9.910289621208296
episode 7300, agent_0: -3.734349; sum reward: -3.7343494694903057
episode 7400, agent_0: -31.948811; sum reward: -31.948811099096336
episode 7500, agent_0: -13.775457; sum reward: -13.77545670664085
episode 7600, agent_0: -46.204933; sum reward: -46.20493306801939
episode 7700, agent_0: -16.778442; sum reward: -16.778442353724454
episode 7800, agent_0: -11.040674; sum reward: -11.04067446611197
episode 7900, agent_0: -47.939225; sum reward: -47.939224579657186
episode 8000, agent_0: -5.522849; sum reward: -5.5228491718838395
episode 8100, agent_0: -3.321548; sum reward: -3.321547555954099
episode 8200, agent_0: -19.047799; sum reward: -19.047798531986594
episode 8300, agent_0: -3.065054; sum reward: -3.0650537499320745
episode 8400, agent_0: -59.537236; sum reward: -59.537235897289044
episode 8500, agent_0: -1.658020; sum reward: -1.6580196222943495
episode 8600, agent_0: -17.844597; sum reward: -17.844597003189207
episode 8700, agent_0: -10.026556; sum reward: -10.026555540385623
episode 8800, agent_0: -1.399118; sum reward: -1.39911793880933
episode 8900, agent_0: -5.786518; sum reward: -5.786518286276569
episode 9000, agent_0: -26.868156; sum reward: -26.86815562270775
episode 9100, agent_0: -12.795446; sum reward: -12.795445579933538
episode 9200, agent_0: -47.298762; sum reward: -47.29876190971334
episode 9300, agent_0: -27.646682; sum reward: -27.64668182979967
episode 9400, agent_0: -14.777405; sum reward: -14.77740459684704
episode 9500, agent_0: -9.985705; sum reward: -9.985705124321768
