episode 100, agent_0: -25.248072; sum reward: -25.248072262094816
episode 200, agent_0: -29.158152; sum reward: -29.158151871784245
episode 300, agent_0: -20.946609; sum reward: -20.946609070878385
episode 400, agent_0: -30.560810; sum reward: -30.56081035536047
episode 500, agent_0: -32.438905; sum reward: -32.43890522490291
episode 600, agent_0: -49.059772; sum reward: -49.05977196887577
episode 700, agent_0: -14.151863; sum reward: -14.151862813646014
episode 800, agent_0: -10.847720; sum reward: -10.84771978730672
episode 900, agent_0: -7.362090; sum reward: -7.36208985157986
episode 1000, agent_0: -4.284511; sum reward: -4.28451076080068
episode 1100, agent_0: -14.268021; sum reward: -14.268020772785512
episode 1200, agent_0: -3.945409; sum reward: -3.945409293274757
episode 1300, agent_0: -6.962845; sum reward: -6.96284451683456
episode 1400, agent_0: -5.895013; sum reward: -5.895013032519739
episode 1500, agent_0: -1.556603; sum reward: -1.5566030415600034
episode 1600, agent_0: -1.101048; sum reward: -1.101047691578123
episode 1700, agent_0: -5.290241; sum reward: -5.290241028337031
episode 1800, agent_0: -0.449509; sum reward: -0.44950868112375064
episode 1900, agent_0: -21.095233; sum reward: -21.095233118890818
episode 2000, agent_0: -14.011000; sum reward: -14.011000011370141
episode 2100, agent_0: -1.063014; sum reward: -1.0630136626751518
episode 2200, agent_0: -1.417833; sum reward: -1.4178328165137974
episode 2300, agent_0: -9.570077; sum reward: -9.570076623676812
episode 2400, agent_0: -1.045486; sum reward: -1.0454860843765406
episode 2500, agent_0: -12.403615; sum reward: -12.40361548436119
episode 2600, agent_0: -1.631807; sum reward: -1.6318069735928051
episode 2700, agent_0: -1.800262; sum reward: -1.8002622831993234
episode 2800, agent_0: -0.957038; sum reward: -0.9570380030588224
episode 2900, agent_0: -3.943110; sum reward: -3.943110458881345
episode 3000, agent_0: -1.992419; sum reward: -1.9924187465150534
episode 3100, agent_0: -2.999114; sum reward: -2.9991141609230128
episode 3200, agent_0: -4.045773; sum reward: -4.045773189751996
episode 3300, agent_0: -2.266887; sum reward: -2.2668869098655318
episode 3400, agent_0: -9.564641; sum reward: -9.564641214303263
episode 3500, agent_0: -1.576757; sum reward: -1.576756753250188
episode 3600, agent_0: -1.273373; sum reward: -1.273373137180959
episode 3700, agent_0: -5.095667; sum reward: -5.095667427795218
episode 3800, agent_0: -9.098433; sum reward: -9.098433466100369
episode 3900, agent_0: -4.887555; sum reward: -4.887555280060036
episode 4000, agent_0: -11.859765; sum reward: -11.859764520854958
episode 4100, agent_0: -0.612192; sum reward: -0.6121922254523664
episode 4200, agent_0: -25.495831; sum reward: -25.49583053840862
episode 4300, agent_0: -1.056657; sum reward: -1.0566572535399998
episode 4400, agent_0: -6.161745; sum reward: -6.161744648390126
episode 4500, agent_0: -4.129204; sum reward: -4.129203784566561
episode 4600, agent_0: -6.042519; sum reward: -6.042519445894954
episode 4700, agent_0: -7.600196; sum reward: -7.600196065312295
episode 4800, agent_0: -15.511699; sum reward: -15.511698977444835
episode 4900, agent_0: -2.142283; sum reward: -2.142283245919547
episode 5000, agent_0: -2.195292; sum reward: -2.1952920406716085
