episode 100, agent_0: -19.322147; sum reward: -19.322147221091324
episode 200, agent_0: -31.535048; sum reward: -31.53504830603656
episode 300, agent_0: -3.477725; sum reward: -3.477724635288031
episode 400, agent_0: -21.543594; sum reward: -21.5435939301099
episode 500, agent_0: -37.615867; sum reward: -37.61586679821442
episode 600, agent_0: -43.650624; sum reward: -43.65062411888049
episode 700, agent_0: -31.913979; sum reward: -31.91397852105158
episode 800, agent_0: -11.286782; sum reward: -11.28678205476056
episode 900, agent_0: -20.782490; sum reward: -20.782489712593716
episode 1000, agent_0: -21.910395; sum reward: -21.910394862083248
episode 1100, agent_0: -64.245991; sum reward: -64.24599147126531
episode 1200, agent_0: -5.719345; sum reward: -5.719344845288138
episode 1300, agent_0: -65.458261; sum reward: -65.45826141361212
episode 1400, agent_0: -69.005333; sum reward: -69.00533334139823
episode 1500, agent_0: -1.618279; sum reward: -1.6182787103312402
episode 1600, agent_0: -55.831862; sum reward: -55.83186228217166
episode 1700, agent_0: -79.190054; sum reward: -79.19005373110615
episode 1800, agent_0: -6.516984; sum reward: -6.516983651870393
episode 1900, agent_0: -19.669842; sum reward: -19.66984234783473
episode 2000, agent_0: -34.193387; sum reward: -34.19338684120855
episode 2100, agent_0: -41.780912; sum reward: -41.78091201730675
episode 2200, agent_0: -23.558399; sum reward: -23.558398996981644
episode 2300, agent_0: -50.502643; sum reward: -50.502642654843626
episode 2400, agent_0: -37.663598; sum reward: -37.66359750072171
episode 2500, agent_0: -45.085720; sum reward: -45.08571978382667
episode 2600, agent_0: -17.345247; sum reward: -17.345247295064468
episode 2700, agent_0: -45.549803; sum reward: -45.54980258357192
episode 2800, agent_0: -39.244782; sum reward: -39.24478201473909
episode 2900, agent_0: -5.843335; sum reward: -5.843334827452767
episode 3000, agent_0: -18.462689; sum reward: -18.462688784822564
episode 3100, agent_0: -5.573293; sum reward: -5.573292821087179
episode 3200, agent_0: -23.280267; sum reward: -23.280267118676804
episode 3300, agent_0: -9.308079; sum reward: -9.308078743136724
episode 3400, agent_0: -13.427710; sum reward: -13.4277099922943
episode 3500, agent_0: -11.368226; sum reward: -11.368225825819723
episode 3600, agent_0: -40.904129; sum reward: -40.90412899797034
episode 3700, agent_0: -4.515749; sum reward: -4.51574932529044
episode 3800, agent_0: -10.291671; sum reward: -10.291670891092172
episode 3900, agent_0: -2.121065; sum reward: -2.121064703487058
episode 4000, agent_0: -11.486973; sum reward: -11.486973483353722
episode 4100, agent_0: -23.511720; sum reward: -23.51171994120037
episode 4200, agent_0: -83.719216; sum reward: -83.71921556149589
episode 4300, agent_0: -54.830927; sum reward: -54.83092745309928
episode 4400, agent_0: -28.705998; sum reward: -28.70599777391495
episode 4500, agent_0: -13.154684; sum reward: -13.154684372360897
episode 4600, agent_0: -25.803215; sum reward: -25.803215300293544
episode 4700, agent_0: -15.944852; sum reward: -15.944851975263413
episode 4800, agent_0: -11.304668; sum reward: -11.30466815660482
episode 4900, agent_0: -13.277996; sum reward: -13.277995536038361
episode 5000, agent_0: -6.859946; sum reward: -6.859946028825338
