episode 100, agent_0: -21.648900; sum reward: -21.648899559679617
episode 200, agent_0: -17.901965; sum reward: -17.901964997980258
episode 300, agent_0: -38.692940; sum reward: -38.692940488520335
episode 400, agent_0: -3.806042; sum reward: -3.8060416571155287
episode 500, agent_0: -5.511113; sum reward: -5.511112842445532
episode 600, agent_0: -3.400839; sum reward: -3.4008388927827577
episode 700, agent_0: -5.718094; sum reward: -5.718093750568325
episode 800, agent_0: -7.587352; sum reward: -7.587351511402512
episode 900, agent_0: -2.557309; sum reward: -2.5573089150601698
episode 1000, agent_0: -4.878196; sum reward: -4.878195921310939
episode 1100, agent_0: -8.275259; sum reward: -8.275258667549803
episode 1200, agent_0: -3.608384; sum reward: -3.60838353092563
episode 1300, agent_0: -5.549520; sum reward: -5.549519507949989
episode 1400, agent_0: -7.529169; sum reward: -7.5291690693571
episode 1500, agent_0: -9.909442; sum reward: -9.909442053083332
episode 1600, agent_0: -5.152622; sum reward: -5.152622225604054
episode 1700, agent_0: -10.891994; sum reward: -10.891994062382661
episode 1800, agent_0: -5.566230; sum reward: -5.566229889388343
episode 1900, agent_0: -6.226298; sum reward: -6.226297849463967
episode 2000, agent_0: -11.271866; sum reward: -11.271865862763292
episode 2100, agent_0: -4.104574; sum reward: -4.1045736883054005
episode 2200, agent_0: -7.484403; sum reward: -7.484403016730448
episode 2300, agent_0: -5.314292; sum reward: -5.314291855668073
episode 2400, agent_0: -6.656513; sum reward: -6.65651265101161
episode 2500, agent_0: -4.760692; sum reward: -4.760691701712607
episode 2600, agent_0: -5.445056; sum reward: -5.445055573709896
episode 2700, agent_0: -4.993030; sum reward: -4.9930301952683305
episode 2800, agent_0: -9.169748; sum reward: -9.169747680469879
episode 2900, agent_0: -6.806476; sum reward: -6.806475685499231
episode 3000, agent_0: -9.098672; sum reward: -9.098671500201274
episode 3100, agent_0: -7.737586; sum reward: -7.737585512677194
episode 3200, agent_0: -5.944993; sum reward: -5.94499348123348
episode 3300, agent_0: -9.709262; sum reward: -9.709261813692212
episode 3400, agent_0: -9.158088; sum reward: -9.158087754969989
episode 3500, agent_0: -8.210424; sum reward: -8.210424313934174
episode 3600, agent_0: -3.710625; sum reward: -3.710625339417236
episode 3700, agent_0: -8.003093; sum reward: -8.003093450319522
episode 3800, agent_0: -7.101082; sum reward: -7.101081809057281
episode 3900, agent_0: -5.071759; sum reward: -5.071758657955311
episode 4000, agent_0: -11.858364; sum reward: -11.858363871210907
episode 4100, agent_0: -5.163455; sum reward: -5.163454683918057
episode 4200, agent_0: -6.981369; sum reward: -6.981368607468262
episode 4300, agent_0: -10.051087; sum reward: -10.051086631456766
episode 4400, agent_0: -9.794530; sum reward: -9.794529865687569
episode 4500, agent_0: -8.619872; sum reward: -8.619871839687304
episode 4600, agent_0: -3.974413; sum reward: -3.97441255688041
episode 4700, agent_0: -7.122716; sum reward: -7.122716076180263
episode 4800, agent_0: -7.247845; sum reward: -7.247844770345418
episode 4900, agent_0: -5.202993; sum reward: -5.2029927798477775
episode 5000, agent_0: -9.149824; sum reward: -9.149824226305148
