episode 100, agent_0: -13.547971; sum reward: -13.547970759179853
episode 200, agent_0: -9.699249; sum reward: -9.69924892124054
episode 300, agent_0: -20.670748; sum reward: -20.67074837894685
episode 400, agent_0: -5.123029; sum reward: -5.123028972052305
episode 500, agent_0: -1.733780; sum reward: -1.7337797004974853
episode 600, agent_0: -31.912163; sum reward: -31.912163071242013
episode 700, agent_0: -11.133203; sum reward: -11.13320294081751
episode 800, agent_0: -10.735220; sum reward: -10.735219515689609
episode 900, agent_0: -13.525621; sum reward: -13.525620529051885
episode 1000, agent_0: -18.325312; sum reward: -18.325312364143937
episode 1100, agent_0: -34.144947; sum reward: -34.1449470244024
episode 1200, agent_0: -14.882570; sum reward: -14.882569598895572
episode 1300, agent_0: -4.758046; sum reward: -4.758045597317976
episode 1400, agent_0: -3.166211; sum reward: -3.1662107241307704
episode 1500, agent_0: -18.539706; sum reward: -18.539705601174155
episode 1600, agent_0: -4.357357; sum reward: -4.35735720788725
episode 1700, agent_0: -17.866154; sum reward: -17.866154328965173
episode 1800, agent_0: -4.423252; sum reward: -4.423252318822081
episode 1900, agent_0: -5.099431; sum reward: -5.099431058391472
episode 2000, agent_0: -7.886228; sum reward: -7.886228104502886
episode 2100, agent_0: -2.740747; sum reward: -2.7407465448035406
episode 2200, agent_0: -16.588266; sum reward: -16.588265803050167
episode 2300, agent_0: -11.413631; sum reward: -11.413631440524501
episode 2400, agent_0: -6.437513; sum reward: -6.437512711793516
episode 2500, agent_0: -19.816251; sum reward: -19.816250737861576
episode 2600, agent_0: -10.097884; sum reward: -10.097883543245917
episode 2700, agent_0: -2.085697; sum reward: -2.0856970710463836
episode 2800, agent_0: -2.880563; sum reward: -2.8805631450788227
episode 2900, agent_0: -27.130208; sum reward: -27.13020841587303
episode 3000, agent_0: -15.844455; sum reward: -15.844455470490935
episode 3100, agent_0: -7.869111; sum reward: -7.8691113419915295
episode 3200, agent_0: -6.141315; sum reward: -6.14131480903486
episode 3300, agent_0: -6.346068; sum reward: -6.3460683557572874
episode 3400, agent_0: -1.607972; sum reward: -1.6079716422642216
episode 3500, agent_0: -6.544079; sum reward: -6.544078718233262
episode 3600, agent_0: -35.398648; sum reward: -35.398648137549124
episode 3700, agent_0: -31.151217; sum reward: -31.15121748119255
episode 3800, agent_0: -43.434260; sum reward: -43.43426012630263
episode 3900, agent_0: -61.602433; sum reward: -61.60243292077489
episode 4000, agent_0: -61.969779; sum reward: -61.969778960061134
episode 4100, agent_0: -3.505306; sum reward: -3.505305847267312
episode 4200, agent_0: -0.519245; sum reward: -0.5192446938712
episode 4300, agent_0: -13.577325; sum reward: -13.577325110169344
episode 4400, agent_0: -1.745679; sum reward: -1.7456791373794334
episode 4500, agent_0: -10.861761; sum reward: -10.861760826331803
episode 4600, agent_0: -0.585361; sum reward: -0.5853609885463245
episode 4700, agent_0: -23.043897; sum reward: -23.043897185205623
episode 4800, agent_0: -12.671807; sum reward: -12.671806604243212
episode 4900, agent_0: -14.075924; sum reward: -14.075923835275447
episode 5000, agent_0: -9.209401; sum reward: -9.209400935354441
