episode 100, agent_0: -14.579620; sum reward: -14.57962037505473
episode 200, agent_0: -19.512851; sum reward: -19.512850943963347
episode 300, agent_0: -44.184475; sum reward: -44.1844753361055
episode 400, agent_0: -3.962501; sum reward: -3.9625012107163595
episode 500, agent_0: -34.307454; sum reward: -34.30745396470916
episode 600, agent_0: -0.629765; sum reward: -0.6297649740539703
episode 700, agent_0: -2.250113; sum reward: -2.2501131131750074
episode 800, agent_0: -7.322796; sum reward: -7.322796359432965
episode 900, agent_0: -37.678920; sum reward: -37.678919577628825
episode 1000, agent_0: -0.817916; sum reward: -0.817915636731274
episode 1100, agent_0: -8.499438; sum reward: -8.499437791101409
episode 1200, agent_0: -19.597049; sum reward: -19.597049172309113
episode 1300, agent_0: -0.519753; sum reward: -0.5197530869193174
episode 1400, agent_0: -3.279811; sum reward: -3.2798110648843326
episode 1500, agent_0: -6.422958; sum reward: -6.422957697774407
episode 1600, agent_0: -16.047197; sum reward: -16.047197291340183
episode 1700, agent_0: -1.173352; sum reward: -1.173352058074041
episode 1800, agent_0: -25.999993; sum reward: -25.999992669628604
episode 1900, agent_0: -13.471000; sum reward: -13.47100007100696
episode 2000, agent_0: -2.374191; sum reward: -2.3741909699605586
episode 2100, agent_0: -9.988153; sum reward: -9.988152720374845
episode 2200, agent_0: -21.353897; sum reward: -21.35389720518704
episode 2300, agent_0: -4.479005; sum reward: -4.479004845056913
episode 2400, agent_0: -2.979289; sum reward: -2.979288622655847
episode 2500, agent_0: -8.727438; sum reward: -8.727437837316257
episode 2600, agent_0: -18.829606; sum reward: -18.82960602245026
episode 2700, agent_0: -12.748253; sum reward: -12.748253468973058
episode 2800, agent_0: -5.877563; sum reward: -5.877562821926061
episode 2900, agent_0: -2.656741; sum reward: -2.6567407753993812
episode 3000, agent_0: -6.504674; sum reward: -6.504674285592317
episode 3100, agent_0: -8.147996; sum reward: -8.147996099641407
episode 3200, agent_0: -4.790724; sum reward: -4.790724291589769
episode 3300, agent_0: -46.495374; sum reward: -46.495373504914134
episode 3400, agent_0: -15.643726; sum reward: -15.643726082371343
episode 3500, agent_0: -12.962068; sum reward: -12.962067782400128
episode 3600, agent_0: -12.254555; sum reward: -12.25455513269266
episode 3700, agent_0: -2.977557; sum reward: -2.9775573529599098
episode 3800, agent_0: -5.025046; sum reward: -5.02504562201487
episode 3900, agent_0: -3.446276; sum reward: -3.4462763389254696
episode 4000, agent_0: -12.234470; sum reward: -12.234469646887023
episode 4100, agent_0: -4.827925; sum reward: -4.827925084193929
episode 4200, agent_0: -1.114669; sum reward: -1.1146694248033997
episode 4300, agent_0: -1.511488; sum reward: -1.5114878447358768
episode 4400, agent_0: -12.702567; sum reward: -12.702567063410564
episode 4500, agent_0: -38.060369; sum reward: -38.06036910788317
episode 4600, agent_0: -1.824683; sum reward: -1.8246834174030828
episode 4700, agent_0: -15.405019; sum reward: -15.40501870105607
episode 4800, agent_0: -14.186798; sum reward: -14.186797762435402
episode 4900, agent_0: -1.165578; sum reward: -1.1655781052744647
episode 5000, agent_0: -5.900417; sum reward: -5.900417141898514
episode 5100, agent_0: -1.581769; sum reward: -1.5817685362232126
episode 5200, agent_0: -2.906838; sum reward: -2.9068378119445897
episode 5300, agent_0: -11.551776; sum reward: -11.551776373328785
episode 5400, agent_0: -14.157910; sum reward: -14.15791006201039
episode 5500, agent_0: -21.977764; sum reward: -21.977763519525542
episode 5600, agent_0: -2.083286; sum reward: -2.0832864407731706
episode 5700, agent_0: -7.660109; sum reward: -7.660109312548224
episode 5800, agent_0: -10.176931; sum reward: -10.176931457489127
episode 5900, agent_0: -12.417106; sum reward: -12.417106288731551
