episode 100, agent_0: -14.752928; sum reward: -14.752927946882977
episode 200, agent_0: -30.559876; sum reward: -30.55987635601573
episode 300, agent_0: -13.641017; sum reward: -13.641017256795703
episode 400, agent_0: -10.060718; sum reward: -10.060718091139442
episode 500, agent_0: -3.197471; sum reward: -3.197471076534428
episode 600, agent_0: -4.801310; sum reward: -4.801310087313623
episode 700, agent_0: -27.058232; sum reward: -27.058232343723454
episode 800, agent_0: -2.846327; sum reward: -2.8463268829112116
episode 900, agent_0: -16.064982; sum reward: -16.064982036043222
episode 1000, agent_0: -2.671551; sum reward: -2.6715505059690976
episode 1100, agent_0: -3.557315; sum reward: -3.557314674265359
episode 1200, agent_0: -14.358488; sum reward: -14.358488436931145
episode 1300, agent_0: -1.167114; sum reward: -1.1671140889253442
episode 1400, agent_0: -1.129320; sum reward: -1.129319721040614
episode 1500, agent_0: -0.926553; sum reward: -0.9265533912960001
episode 1600, agent_0: -1.193170; sum reward: -1.1931695853843465
episode 1700, agent_0: -3.977688; sum reward: -3.9776884630260922
episode 1800, agent_0: -9.719704; sum reward: -9.719703630300222
episode 1900, agent_0: -24.613739; sum reward: -24.613738565965104
episode 2000, agent_0: -0.133401; sum reward: -0.13340100173496583
episode 2100, agent_0: -3.142000; sum reward: -3.141999775072058
episode 2200, agent_0: -37.820032; sum reward: -37.82003242126041
episode 2300, agent_0: -13.427619; sum reward: -13.42761850501446
episode 2400, agent_0: -8.956054; sum reward: -8.95605357471902
episode 2500, agent_0: -34.965512; sum reward: -34.96551176151982
episode 2600, agent_0: -24.868739; sum reward: -24.86873875937855
episode 2700, agent_0: -8.665174; sum reward: -8.665173810004875
episode 2800, agent_0: -43.695198; sum reward: -43.69519818166237
episode 2900, agent_0: -1.431190; sum reward: -1.43118976723922
episode 3000, agent_0: -1.126067; sum reward: -1.1260672127297335
episode 3100, agent_0: -19.450067; sum reward: -19.450066807613602
episode 3200, agent_0: -2.267823; sum reward: -2.2678226879316403
episode 3300, agent_0: -21.723929; sum reward: -21.723929202902404
episode 3400, agent_0: -1.463253; sum reward: -1.463253239790475
episode 3500, agent_0: -3.770997; sum reward: -3.770997486162421
episode 3600, agent_0: -33.513336; sum reward: -33.51333630567342
episode 3700, agent_0: -9.327087; sum reward: -9.327087295151891
episode 3800, agent_0: -25.249622; sum reward: -25.24962230896584
episode 3900, agent_0: -5.765077; sum reward: -5.765076704993504
episode 4000, agent_0: -2.788520; sum reward: -2.788519569527962
episode 4100, agent_0: -22.113593; sum reward: -22.113593472617058
episode 4200, agent_0: -42.093966; sum reward: -42.09396550520839
episode 4300, agent_0: -1.826796; sum reward: -1.82679627587595
episode 4400, agent_0: -22.485408; sum reward: -22.48540786707202
episode 4500, agent_0: -12.528429; sum reward: -12.528428597654521
episode 4600, agent_0: -23.122693; sum reward: -23.122693215929914
episode 4700, agent_0: -1.303162; sum reward: -1.3031615196438562
episode 4800, agent_0: -7.175496; sum reward: -7.175495896355029
episode 4900, agent_0: -5.739193; sum reward: -5.739193397803535
episode 5000, agent_0: -23.523342; sum reward: -23.523342395959272
episode 5100, agent_0: -1.590234; sum reward: -1.590234477091963
episode 5200, agent_0: -3.673655; sum reward: -3.673654736686906
episode 5300, agent_0: -10.204662; sum reward: -10.204662386312531
episode 5400, agent_0: -7.436315; sum reward: -7.436315162630777
episode 5500, agent_0: -0.598897; sum reward: -0.5988968120621281
episode 5600, agent_0: -5.680837; sum reward: -5.680836669832364
episode 5700, agent_0: -24.973479; sum reward: -24.97347909521123
episode 5800, agent_0: -9.896492; sum reward: -9.89649184863065
episode 5900, agent_0: -18.286394; sum reward: -18.286393548706478
episode 6000, agent_0: -17.650096; sum reward: -17.65009635539822
episode 6100, agent_0: -20.630097; sum reward: -20.630096555510214
episode 6200, agent_0: -7.385074; sum reward: -7.38507394705589
episode 6300, agent_0: -17.354035; sum reward: -17.35403526500048
episode 6400, agent_0: -2.698978; sum reward: -2.698978493231805
episode 6500, agent_0: -9.773115; sum reward: -9.773115415722062
episode 6600, agent_0: -7.974349; sum reward: -7.974348870270671
episode 6700, agent_0: -8.336177; sum reward: -8.336176811112487
episode 6800, agent_0: -15.859443; sum reward: -15.859442551046746
episode 6900, agent_0: -36.109731; sum reward: -36.10973108602662
episode 7000, agent_0: -5.186873; sum reward: -5.186873271019048
episode 7100, agent_0: -14.893902; sum reward: -14.893901844648825
episode 7200, agent_0: -1.363530; sum reward: -1.3635298256632085
episode 7300, agent_0: -2.196573; sum reward: -2.1965734192956456
episode 7400, agent_0: -11.937610; sum reward: -11.937610473520154
episode 7500, agent_0: -5.333398; sum reward: -5.333397844597338
episode 7600, agent_0: -80.148174; sum reward: -80.14817407813871
episode 7700, agent_0: -2.858142; sum reward: -2.858141997525646
episode 7800, agent_0: -11.036116; sum reward: -11.036115555330877
episode 7900, agent_0: -41.586087; sum reward: -41.586086727987826
episode 8000, agent_0: -26.153084; sum reward: -26.153083930402076
episode 8100, agent_0: -10.589609; sum reward: -10.589609420481626
episode 8200, agent_0: -14.306279; sum reward: -14.306278822662934
episode 8300, agent_0: -1.117305; sum reward: -1.1173052217379018
episode 8400, agent_0: -3.124748; sum reward: -3.124748298044689
episode 8500, agent_0: -11.710292; sum reward: -11.710292225890424
episode 8600, agent_0: -3.112158; sum reward: -3.1121578599676303
episode 8700, agent_0: -15.186416; sum reward: -15.186415584048968
