episode 100, agent_0: -38.722300; sum reward: -38.72229992524568
episode 200, agent_0: -46.476095; sum reward: -46.476094945217866
episode 300, agent_0: -18.122986; sum reward: -18.122986430036285
episode 400, agent_0: -68.601079; sum reward: -68.60107891652981
episode 500, agent_0: -51.874637; sum reward: -51.8746371858132
episode 600, agent_0: -21.282844; sum reward: -21.28284406255854
episode 700, agent_0: -21.278070; sum reward: -21.27807009857182
episode 800, agent_0: -48.493874; sum reward: -48.49387424142657
episode 900, agent_0: -21.549463; sum reward: -21.549463377530284
episode 1000, agent_0: -48.361558; sum reward: -48.361557968188635
episode 1100, agent_0: -68.421266; sum reward: -68.42126587231601
episode 1200, agent_0: -14.768336; sum reward: -14.768335842029437
episode 1300, agent_0: -7.087484; sum reward: -7.087483905503896
episode 1400, agent_0: -0.265340; sum reward: -0.26534026250758685
episode 1500, agent_0: -7.993247; sum reward: -7.993247198726712
episode 1600, agent_0: -46.417275; sum reward: -46.41727515138285
episode 1700, agent_0: -24.418276; sum reward: -24.41827587098217
episode 1800, agent_0: -8.992881; sum reward: -8.992881286792057
episode 1900, agent_0: -50.515569; sum reward: -50.515568660850434
episode 2000, agent_0: -5.832682; sum reward: -5.832682184468094
episode 2100, agent_0: -11.352825; sum reward: -11.352824666178348
episode 2200, agent_0: -70.321882; sum reward: -70.32188210549297
episode 2300, agent_0: -29.331675; sum reward: -29.331674586338163
episode 2400, agent_0: -38.354973; sum reward: -38.35497292849609
episode 2500, agent_0: -18.515258; sum reward: -18.515257608669533
episode 2600, agent_0: -41.275840; sum reward: -41.27584024317635
episode 2700, agent_0: -5.349886; sum reward: -5.34988557817357
episode 2800, agent_0: -15.591184; sum reward: -15.591184095463717
episode 2900, agent_0: -0.534674; sum reward: -0.5346740632227647
episode 3000, agent_0: -36.985327; sum reward: -36.985327075909126
episode 3100, agent_0: -5.957195; sum reward: -5.957194624949137
episode 3200, agent_0: -31.294855; sum reward: -31.294854887066208
episode 3300, agent_0: -12.547232; sum reward: -12.547231580782794
