episode 100, agent_0: -22.170332; sum reward: -22.170332320049653
episode 200, agent_0: -30.995881; sum reward: -30.995880897848107
episode 300, agent_0: -11.524707; sum reward: -11.524706979161724
episode 400, agent_0: -20.011143; sum reward: -20.01114348688983
episode 500, agent_0: -1.316160; sum reward: -1.3161600317176942
episode 600, agent_0: -5.040554; sum reward: -5.04055356098798
episode 700, agent_0: -22.446543; sum reward: -22.446542952299875
episode 800, agent_0: -2.468506; sum reward: -2.468506190342164
episode 900, agent_0: -2.084857; sum reward: -2.084856975385153
episode 1000, agent_0: -10.656553; sum reward: -10.656553112973565
episode 1100, agent_0: -1.905880; sum reward: -1.9058795148144956
episode 1200, agent_0: -2.294237; sum reward: -2.294236890138282
episode 1300, agent_0: -11.904341; sum reward: -11.90434135079361
episode 1400, agent_0: -8.775276; sum reward: -8.77527641356373
episode 1500, agent_0: -5.725310; sum reward: -5.725309744135771
episode 1600, agent_0: -5.185033; sum reward: -5.185033397842828
episode 1700, agent_0: -8.096233; sum reward: -8.096233060661937
episode 1800, agent_0: -2.405347; sum reward: -2.405346660666381
episode 1900, agent_0: -2.616804; sum reward: -2.6168038997758725
episode 2000, agent_0: -1.878994; sum reward: -1.8789943888609208
episode 2100, agent_0: -1.111265; sum reward: -1.111264975460041
episode 2200, agent_0: -7.719214; sum reward: -7.719213996804407
episode 2300, agent_0: -15.218336; sum reward: -15.218335648298678
episode 2400, agent_0: -8.808834; sum reward: -8.808834479410535
episode 2500, agent_0: -1.475630; sum reward: -1.4756302567174584
episode 2600, agent_0: -1.965770; sum reward: -1.9657695556358157
episode 2700, agent_0: -1.330779; sum reward: -1.3307792079591325
episode 2800, agent_0: -5.892539; sum reward: -5.892539016494208
episode 2900, agent_0: -1.871644; sum reward: -1.8716436374031313
episode 3000, agent_0: -0.669226; sum reward: -0.6692256608855005
episode 3100, agent_0: -15.818710; sum reward: -15.81871042500688
episode 3200, agent_0: -1.847728; sum reward: -1.8477282831176192
episode 3300, agent_0: -12.330646; sum reward: -12.330645757561573
episode 3400, agent_0: -6.243156; sum reward: -6.243155822726148
episode 3500, agent_0: -2.984143; sum reward: -2.9841430173515895
episode 3600, agent_0: -1.879315; sum reward: -1.8793146113629684
episode 3700, agent_0: -4.535199; sum reward: -4.535198898144865
episode 3800, agent_0: -6.440094; sum reward: -6.440094472919127
episode 3900, agent_0: -11.750853; sum reward: -11.75085250884771
episode 4000, agent_0: -3.333154; sum reward: -3.333153843511077
episode 4100, agent_0: -6.823051; sum reward: -6.823051483724885
episode 4200, agent_0: -3.021937; sum reward: -3.021936599884343
episode 4300, agent_0: -8.055269; sum reward: -8.055268774218824
episode 4400, agent_0: -8.746816; sum reward: -8.746816457795543
episode 4500, agent_0: -8.011432; sum reward: -8.01143182260339
episode 4600, agent_0: -0.613177; sum reward: -0.6131768716829001
episode 4700, agent_0: -2.252545; sum reward: -2.252545432061063
episode 4800, agent_0: -1.887325; sum reward: -1.8873248430952043
episode 4900, agent_0: -14.925896; sum reward: -14.925896264923557
episode 5000, agent_0: -2.510949; sum reward: -2.5109489204947013
episode 5100, agent_0: -13.089025; sum reward: -13.089024970511057
episode 5200, agent_0: -9.186149; sum reward: -9.186149207746434
episode 5300, agent_0: -9.682978; sum reward: -9.682977838331563
episode 5400, agent_0: -11.697643; sum reward: -11.697643332455359
episode 5500, agent_0: -1.687316; sum reward: -1.6873159474560282
episode 5600, agent_0: -4.009193; sum reward: -4.009192812174136
episode 5700, agent_0: -1.837683; sum reward: -1.8376833528030867
episode 5800, agent_0: -11.139761; sum reward: -11.13976144829584
episode 5900, agent_0: -1.741352; sum reward: -1.7413516033386103
episode 6000, agent_0: -3.424195; sum reward: -3.4241953596144805
episode 6100, agent_0: -8.886008; sum reward: -8.88600767624702
episode 6200, agent_0: -2.415158; sum reward: -2.415158436282245
episode 6300, agent_0: -14.873231; sum reward: -14.873231420418751
episode 6400, agent_0: -20.263520; sum reward: -20.263519690145163
episode 6500, agent_0: -3.564164; sum reward: -3.5641643393969615
episode 6600, agent_0: -7.212060; sum reward: -7.212060467655965
episode 6700, agent_0: -5.228505; sum reward: -5.228504768604912
episode 6800, agent_0: -3.090187; sum reward: -3.0901870309615607
episode 6900, agent_0: -12.424313; sum reward: -12.424312920567566
episode 7000, agent_0: -5.370421; sum reward: -5.370421466897598
episode 7100, agent_0: -9.386609; sum reward: -9.386608834069817
episode 7200, agent_0: -6.664216; sum reward: -6.664216145929623
episode 7300, agent_0: -5.573587; sum reward: -5.573587127573308
episode 7400, agent_0: -6.230590; sum reward: -6.230590346729199
episode 7500, agent_0: -0.541280; sum reward: -0.5412798723633802
episode 7600, agent_0: -28.136498; sum reward: -28.1364978001768
episode 7700, agent_0: -9.139087; sum reward: -9.13908731127223
episode 7800, agent_0: -4.010582; sum reward: -4.010581740478352
episode 7900, agent_0: -4.823510; sum reward: -4.823510329104723
episode 8000, agent_0: -15.686719; sum reward: -15.686719022586713
episode 8100, agent_0: -1.037185; sum reward: -1.037185214993223
episode 8200, agent_0: -2.939610; sum reward: -2.9396098050319286
episode 8300, agent_0: -1.705360; sum reward: -1.7053601002525622
episode 8400, agent_0: -2.346155; sum reward: -2.346155205559247
episode 8500, agent_0: -6.825810; sum reward: -6.825809855611132
episode 8600, agent_0: -2.458413; sum reward: -2.458412536973783
episode 8700, agent_0: -4.065568; sum reward: -4.0655681649068915
episode 8800, agent_0: -0.814148; sum reward: -0.8141480509598529
episode 8900, agent_0: -18.357599; sum reward: -18.35759918026223
episode 9000, agent_0: -13.581880; sum reward: -13.581879798945216
episode 9100, agent_0: -0.653880; sum reward: -0.6538803314310695
episode 9200, agent_0: -3.463629; sum reward: -3.46362926544689
episode 9300, agent_0: -0.999510; sum reward: -0.9995103532255615
episode 9400, agent_0: -1.570974; sum reward: -1.570974305298044
episode 9500, agent_0: -5.649572; sum reward: -5.649572035908543
episode 9600, agent_0: -6.091126; sum reward: -6.091126479723565
episode 9700, agent_0: -1.459716; sum reward: -1.4597158220070936
episode 9800, agent_0: -8.348004; sum reward: -8.348004465423333
episode 9900, agent_0: -25.057109; sum reward: -25.057108871309584
episode 10000, agent_0: -6.954356; sum reward: -6.95435580552625
episode 10100, agent_0: -9.559355; sum reward: -9.559354500567144
episode 10200, agent_0: -4.922075; sum reward: -4.922074824098284
episode 10300, agent_0: -0.826032; sum reward: -0.8260316790374778
episode 10400, agent_0: -1.601468; sum reward: -1.6014684832775328
episode 10500, agent_0: -0.897747; sum reward: -0.8977470481081335
episode 10600, agent_0: -5.329532; sum reward: -5.32953177313408
episode 10700, agent_0: -3.238953; sum reward: -3.2389532899535287
episode 10800, agent_0: -5.107924; sum reward: -5.107923897780087
episode 10900, agent_0: -2.639872; sum reward: -2.639872018039295
episode 11000, agent_0: -7.366531; sum reward: -7.36653065800344
episode 11100, agent_0: -0.232784; sum reward: -0.23278396802005905
episode 11200, agent_0: -7.244067; sum reward: -7.244066805364231
episode 11300, agent_0: -4.280737; sum reward: -4.280737008502002
episode 11400, agent_0: -3.818417; sum reward: -3.8184166139689744
episode 11500, agent_0: -0.675394; sum reward: -0.6753939037081297
episode 11600, agent_0: -1.798071; sum reward: -1.7980714614673994
episode 11700, agent_0: -2.898016; sum reward: -2.898015815285553
episode 11800, agent_0: -0.254577; sum reward: -0.2545766495402645
episode 11900, agent_0: -0.879102; sum reward: -0.8791015799166461
episode 12000, agent_0: -0.803974; sum reward: -0.8039738881463698
episode 12100, agent_0: -0.306115; sum reward: -0.30611521471866043
episode 12200, agent_0: -8.140010; sum reward: -8.140009720474293
episode 12300, agent_0: -2.316648; sum reward: -2.3166478962100867
episode 12400, agent_0: -3.367757; sum reward: -3.367756941225952
episode 12500, agent_0: -2.188464; sum reward: -2.1884643391041227
episode 12600, agent_0: -21.796408; sum reward: -21.796408316039646
episode 12700, agent_0: -3.476198; sum reward: -3.4761983529725806
episode 12800, agent_0: -3.354024; sum reward: -3.354023808815946
episode 12900, agent_0: -3.881282; sum reward: -3.8812822762103365
episode 13000, agent_0: -0.585206; sum reward: -0.5852057599139785
episode 13100, agent_0: -15.676008; sum reward: -15.676008307393278
episode 13200, agent_0: -3.912163; sum reward: -3.912162703675191
episode 13300, agent_0: -2.815243; sum reward: -2.815243438412196
episode 13400, agent_0: -5.261239; sum reward: -5.261239476245693
episode 13500, agent_0: -10.377683; sum reward: -10.377682936442794
episode 13600, agent_0: -4.141367; sum reward: -4.141366679375968
episode 13700, agent_0: -4.519636; sum reward: -4.519636435628171
episode 13800, agent_0: -0.169684; sum reward: -0.16968416363064168
episode 13900, agent_0: -29.801251; sum reward: -29.801251299104447
episode 14000, agent_0: -11.342283; sum reward: -11.342282822787165
episode 14100, agent_0: -0.958790; sum reward: -0.9587903474122252
episode 14200, agent_0: -1.172795; sum reward: -1.1727947317582197
episode 14300, agent_0: -0.278668; sum reward: -0.2786677460651167
episode 14400, agent_0: -3.329947; sum reward: -3.3299472753750083
episode 14500, agent_0: -12.033691; sum reward: -12.033691430242172
episode 14600, agent_0: -2.845742; sum reward: -2.8457416482590254
episode 14700, agent_0: -1.232339; sum reward: -1.2323386440531736
episode 14800, agent_0: -14.754109; sum reward: -14.754108580349977
episode 14900, agent_0: -2.789494; sum reward: -2.7894935339580416
episode 15000, agent_0: -8.558146; sum reward: -8.558146351105464
episode 15100, agent_0: -1.464748; sum reward: -1.464748056368115
episode 15200, agent_0: -3.090910; sum reward: -3.090910316079476
episode 15300, agent_0: -16.129588; sum reward: -16.12958823987598
episode 15400, agent_0: -1.987077; sum reward: -1.9870769485525237
episode 15500, agent_0: -19.380689; sum reward: -19.3806889943368
episode 15600, agent_0: -2.977782; sum reward: -2.9777821288837143
episode 15700, agent_0: -1.145859; sum reward: -1.1458591268578115
episode 15800, agent_0: -1.884596; sum reward: -1.8845960898573084
episode 15900, agent_0: -7.746526; sum reward: -7.746525760347713
episode 16000, agent_0: -14.920899; sum reward: -14.920899107988332
episode 16100, agent_0: -1.291700; sum reward: -1.2916997643901325
episode 16200, agent_0: -0.566652; sum reward: -0.5666517426621417
episode 16300, agent_0: -5.561283; sum reward: -5.561282857088735
episode 16400, agent_0: -1.157415; sum reward: -1.1574149363810526
episode 16500, agent_0: -1.176983; sum reward: -1.1769831834596711
episode 16600, agent_0: -2.231596; sum reward: -2.2315963347196184
episode 16700, agent_0: -3.219438; sum reward: -3.2194376777556
episode 16800, agent_0: -1.070414; sum reward: -1.0704143943806683
